UID        PID  PPID  C STIME TTY          TIME CMD
root      4420     1  2 Mar04 ?        07:45:40 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root      4466     1  0 Mar04 ?        00:02:19 /usr/sbin/automount --systemd-service --dont-check-daemon
ccsadmin  4560 17636  0 08:13 ?        00:00:00 postgres: postgres midpoint ip-127-0-0-6.af-south-1.compute.internal(48881) idle
root      4693     2  0 Mar04 ?        00:00:05 [kworker/2:1H-kb]
root      4771     1  0 Mar04 ?        00:00:00 /usr/sbin/sshd -D
root      4851     2  0 Mar04 ?        00:00:37 bpfilter_umh
root      4970  4183  0 Mar04 ?        00:00:31 /usr/bin/ssm-agent-worker
root      5294     1  4 Mar04 ?        15:37:36 /usr/bin/kubelet --cloud-provider aws --config /etc/kubernetes/kubelet/kubelet-config.json --kubeconfig /var/lib/kubelet/kubeconfig --container-runtime docker --network-plugin cni --node-ip=100.66.2.4 --pod-infra-container-image=877085696533.dkr.ecr.af-south-1.amazonaws.com/eks/pause:3.1-eksbuild.1 --v=2
root      5769     2  0 Mar04 ?        00:00:05 [kworker/3:1H-kb]
root      5784  3870  0 Mar04 ?        00:00:26 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/b490f0ac721752b08f6a693ba1e56d031ee228d3e0717623584fc2de7088b056 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      5787  3870  0 Mar04 ?        00:00:27 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/7d72a40e3b755f45623e83d5803ac78afab4a6ca215d6eb203a62569e82d9982 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      5789  3870  0 Mar04 ?        00:00:24 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/fe09e78cc017daf88f617ff7b58986d6d821ed38f19cf77e1ffe6cd945461926 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      5834  3870  0 Mar04 ?        00:00:25 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/c6709f235ca981b1efdf7f299052f4ef6a914299637340560ad1de6aa8972618 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      5871  5787  0 Mar04 ?        00:00:00 /pause
root      5926  5789  0 Mar04 ?        00:00:00 /pause
root      5928     2  0 09:20 ?        00:00:00 [kworker/1:2-eve]
root      5937  5834  0 Mar04 ?        00:00:00 /pause
root      5974  5784  0 Mar04 ?        00:00:00 /pause
root      6584  3870  0 Mar04 ?        00:00:28 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/c1ef31da55c667aa736dc828efe4f4cfdb3640e3ad3871864c21393a623a84a0 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      6622  3870  0 Mar04 ?        00:00:27 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/89303234811eec22635f99751de010cf28faa7e778e6ca22c1f6e0132caa23f3 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      6731  6584  0 Mar04 ?        00:03:00 kube-proxy --v=2 --config=/var/lib/kube-proxy-config/config
root      6769  6622  0 Mar04 ?        00:11:45 /bin/aws-efs-csi-driver --endpoint=unix:/csi/csi.sock --logtostderr --v=2
root      6882  6769  0 Mar04 ?        00:23:34 python3 /usr/bin/amazon-efs-mount-watchdog
root      7542  3870  0 Mar04 ?        00:00:27 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/036253bb42e93628a5457632987469b802042b766931395f98d307316bd58496 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      7570  7542  0 Mar04 ?        00:00:20 /csi-node-driver-registrar --csi-address=/csi/csi.sock --kubelet-registration-path=/var/lib/kubelet/plugins/efs.csi.aws.com/csi.sock --v=2
root      7783  3870  0 Mar04 ?        00:01:19 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/edf2e444fa60b0bf861e3ad3ed9618d25a7539fcd61c2b31be9b1d1ec2545f4f -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      7810  7783  0 Mar04 ?        00:16:13 /livenessprobe --csi-address=/csi/csi.sock --health-port=9809 --v=2
postfix   7934  4024  0 08:28 ?        00:00:00 pickup -l -t unix -u
root      8204  3870  0 Mar04 ?        00:07:36 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/26f8e45e2cdd35de259831ab15cf9281364e6be8796b459e3d7884cca9183f3b -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      8224  8204  0 Mar04 ?        00:00:07 /usr/local/bin/runsvdir -P /etc/service/enabled
root      8369     2  0 09:21 ?        00:00:00 [kworker/3:1-eve]
root      8390  3870  0 Mar04 ?        00:00:26 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/ac64f874a0aa325812b7c0d5f00fe926ea64bcef958c263249f3a03fe87b2f97 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      8407  8390  0 Mar04 ?        00:00:00 /pause
root      8460  8224  0 Mar04 ?        00:00:00 runsv felix
root      8461  8224  0 Mar04 ?        00:00:00 runsv monitor-addresses
root      8462  8224  0 Mar04 ?        00:00:00 runsv allocate-tunnel-addrs
root      8464  8461  0 Mar04 ?        00:01:25 calico-node -monitor-addresses
root      8690  3870  0 Mar04 ?        00:00:28 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/1c8aeda8d1353f1814451799fee28ca677547aa679be41202bcba00f4ee16d46 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
chrony    8710  8690  0 Mar04 ?        00:00:19 /sbin/tini -- calico-typha
chrony    8759  8710  0 Mar04 ?        00:22:14 calico-typha
root      8891  3870  0 Mar16 ?        00:00:02 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/7ce40af287318e3ed055282d85e10c29064a5f51db2e814ab4fdd1940d8ec8b9 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root      8925  8460  1 Mar04 ?        03:27:32 calico-node -felix
root      8932  8891  0 Mar16 ?        00:00:01 tini -- /fluentd/entrypoint.sh
root      8965  8932  0 Mar16 ?        00:00:24 ruby /fluentd/vendor/bundle/ruby/2.6.0/bin/fluentd -c /fluentd/etc/fluent.conf -p /fluentd/plugins --gemfile /fluentd/Gemfile -r /fluentd/vendor/bundle/ruby/2.6.0/gems/fluent-plugin-elasticsearch-5.0.5/lib/fluent/plugin/elasticsearch_simple_sniffer.rb
root      9033  8462  0 Mar04 ?        00:01:50 calico-node -allocate-tunnel-addrs
root      9082  8965  0 Mar16 ?        00:12:29 /usr/local/bin/ruby -Eascii-8bit:ascii-8bit /fluentd/vendor/bundle/ruby/2.6.0/bin/fluentd -c /fluentd/etc/fluent.conf -p /fluentd/plugins --gemfile /fluentd/Gemfile -r /fluentd/vendor/bundle/ruby/2.6.0/gems/fluent-plugin-elasticsearch-5.0.5/lib/fluent/plugin/elasticsearch_simple_sniffer.rb --under-supervisor
root     10124  3870  0 Mar04 ?        00:14:02 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/fe7913e70345b7e1187d329e554dbaa93de48b23415834e95d59b284cb543af3 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root     10141 10124  0 Mar04 ?        00:00:00 bash /app/entrypoint.sh
root     10192 10141  0 Mar04 ?        00:08:52 ./aws-k8s-agent
root     10193 10141  0 Mar04 ?        00:00:00 tee -i aws-k8s-agent.log
root     10556  3870  0 Mar04 ?        00:00:26 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/a5ecd4ecdba112f44c182ea9779fe6391a8a734e6a1e222d2a0ad0c9859bf887 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root     10590 10556  0 Mar04 ?        00:00:00 /pause
root     10944     2  0 08:55 ?        00:00:00 [kworker/0:0-cgr]
ccsadmin 11047 17636  0 08:42 ?        00:00:00 postgres: postgres midpoint ip-127-0-0-6.af-south-1.compute.internal(37977) idle
root     12125     2  0 08:30 ?        00:00:00 [kworker/1:1-eve]
ccsadmin 13348 17636  0 08:43 ?        00:00:00 postgres: postgres midpoint ip-127-0-0-6.af-south-1.compute.internal(57145) idle
root     13552     2  0 09:10 ?        00:00:00 [kworker/2:3-cgr]
root     13716     2  0 09:23 ?        00:00:00 [kworker/u8:0-ev]
root     15373     2  0 Mar13 ?        00:00:00 [jbd2/nvme6n1-8]
root     15378     2  0 Mar13 ?        00:00:00 [ext4-rsv-conver]
root     15398  3870  0 Mar13 ?        00:00:07 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/84b678c9572fcd5bf68c919c56228bca8f401b04b555c1e830563fd602d2ffd3 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
root     15434 15398  0 Mar13 ?        00:00:00 /pause
root     15472     2  0 09:23 ?        00:00:00 [kworker/2:1-eve]
root     16287  3870  0 Mar13 ?        00:04:18 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/a8d9a3587aaec1208fc7ca706abd45cc1876cc3041e86724687b4101cb14f099 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
ccsadmin 16324 16287  0 Mar13 ?        00:02:24 /opt/bitnami/repmgr/bin/repmgrd --pid-file=/opt/bitnami/repmgr/tmp/repmgr.pid -f /opt/bitnami/repmgr/conf/repmgr.conf --daemonize=false
root     16380  3870  0 Mar13 ?        00:00:08 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/0a66e1117cc4c22c4d8bbbd36b5e91429b52ae8f6cb5d1ef6ec4ab6f8aa764dd -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
1337     16421 16380  0 Mar13 ?        00:02:11 /usr/local/bin/pilot-agent proxy sidecar --domain persistent.svc.cluster.local --proxyLogLevel=warning --proxyComponentLogLevel=misc:error --log_output_level=default:info --concurrency 2
1337     16483 16421  0 Mar13 ?        00:19:17 /usr/local/bin/envoy -c etc/istio/proxy/envoy-rev0.json --restart-epoch 0 --drain-time-s 45 --drain-strategy immediate --parent-shutdown-time-s 60 --local-address-ip-version v4 --file-flush-interval-msec 1000 --disable-hot-restart --log-format %Y-%m-%dT%T.%fZ?%l?envoy %n?%v -l warning --component-log-level misc:error --concurrency 2
ccsadmin 16965 17636  0 06:20 ?        00:00:00 postgres: postgres midpoint 127.0.0.6(56683) idle
